date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:00:47	67309/67309	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-106ed%22	http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/index3.html	(from )
13:00:47	50/50	---MCZ	200	added ('OK')	text/plain	date:Tue,%2005%20Oct%202021%2007:15:46%20GMT	http://eliteadmin.themedesigner.in/robots.txt		(from )
13:00:47	1347/1347	---M--	200	added ('OK')	image/png	etag:%2260ed8084-543%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/favicon.png	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/assets/images/favicon.png	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:00:48	540/540	---MCZ	200	added ('OK')	text/css	etag:W/%2260ed8084-21c%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/node_modules/morrisjs/morris.css	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/assets/node_modules/morrisjs/morris.css	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:00:55	1051/1051	---MCZ	200	added ('OK')	text/css	etag:W/%2260ed8085-41b%22	http://eliteadmin.themedesigner.in/demos/bt4/material/dist/css/pages/dashboard3.css	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/dist/css/pages/dashboard3.css	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:00:57	596369/596369	---MCZ	200	added ('OK')	text/css	etag:W/%2260ed8085-91991%22	http://eliteadmin.themedesigner.in/demos/bt4/material/dist/css/style.min.css	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/dist/css/style.min.css	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:00:57	1980/1980	---M--	200	added ('OK')	image/png	etag:%2260ed8084-7bc%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-icon.png	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-icon.png	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:00:57	105699/105699	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-19ce3%22	http://eliteadmin.themedesigner.in/demos/bt4/material/index.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/index.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:00:57	1785/1785	---M--	200	added ('OK')	image/png	etag:%2260ed8084-6f9%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-light-icon.png	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-light-icon.png	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:00:58	16131/16131	---M--	200	added ('OK')	image/png	etag:%2260ed8084-3f03%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-text.png	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-text.png	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:04	31418/31418	---M--	200	added ('OK')	image/jpeg	etag:%2260ed8084-7aba%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/users/1.jpg	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/assets/images/users/1.jpg	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:04	75554/75554	---M--	200	added ('OK')	image/jpeg	etag:%2260ed8084-12722%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/users/2.jpg	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/assets/images/users/2.jpg	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:09	43005/43005	---M--	200	added ('OK')	image/jpeg	etag:%2260ed8084-a7fd%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/users/3.jpg	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/assets/images/users/3.jpg	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:14	69177/69177	---M--	200	added ('OK')	image/jpeg	etag:%2260ed8084-10e39%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/big/img2.jpg	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/assets/images/big/img2.jpg	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:15	7118/7118	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-1bce%22	http://eliteadmin.themedesigner.in/demos/bt4/material/pages-login.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/pages-login.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:20	80164/80164	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-13924%22	http://eliteadmin.themedesigner.in/demos/bt4/material/index4.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/index4.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:21	61658/61658	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-f0da%22	http://eliteadmin.themedesigner.in/demos/bt4/material/app-calendar.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/app-calendar.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:21	63493/63493	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-f805%22	http://eliteadmin.themedesigner.in/demos/bt4/material/app-chat.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/app-chat.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:22	82595/82595	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-142a3%22	http://eliteadmin.themedesigner.in/demos/bt4/material/app-ticket.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/app-ticket.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:22	88005/88005	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-157c5%22	http://eliteadmin.themedesigner.in/demos/bt4/material/app-contact.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/app-contact.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:22	68854/68854	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-10cf6%22	http://eliteadmin.themedesigner.in/demos/bt4/material/app-contact2.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/app-contact2.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
13:01:23	72581/72581	---MCZ	200	added ('OK')	text/html	etag:W/%2260ed8085-11b85%22	http://eliteadmin.themedesigner.in/demos/bt4/material/app-contact-detail.html	T:/Templates/Elite%20Admin/eliteadmin.themedesigner.in/demos/bt4/material/app-contact-detail.html	(from http://eliteadmin.themedesigner.in/demos/bt4/material/index3.html)
